,rule_lhs,rule_rhs,lhs,rhs,judgment,confidence
4170,engage in,be accused of,Employers engage in monitoring,Employers be accused of monitoring,No,1.0
4171,rock,pull,an explosion rock the ship,an explosion pull the ship,No,1.0
4172,want to be,gonna be,America want to be the image,America gonna be the image,No,1.0
4173,paint,name,A picture paint a thousand words,A picture name a thousand words,No,1.0
4174,browse,log on to,the user browse the Site,the user log on to the Site,No,1.0
4175,deny,procure,Defendants deny their actions,Defendants procure their actions,No,1.0
4176,do a bit of,do a tremendous amount of,The lab do a bit of work,The lab do a tremendous amount of work,No,1.0
4177,put link to,get a link to,all your friends put link to this website,all your friends get a link to this website,No,1.0
4178,have a shot at,be won,the party have a shot at the nomination,the party be won the nomination,No,1.0
4179,worry about,be happy with,Ladies worry about your hair,Ladies be happy with your hair,No,1.0
4180,call my attention to,be upset over,A reader call my attention to a statement,A reader be upset over a statement,No,1.0
4181,buy for,save for,his buddies buy for him,his buddies save for him,No,1.0
4182,be a country in,be the only country in,Zambia be a country in southern Africa,Zambia be the only country in southern Africa,No,1.0
4183,feed,be food for,the hand feed him,the hand be food for him,No,1.0
4184,need to adopt,adhere to,organizations need to adopt Web 2.0,organizations adhere to Web 2.0,No,1.0
4185,attend,study act at,The family attend the Unitarian church,The family study act at the Unitarian church,No,1.0
4186,start think about,understand about,the fish start think about spawning,the fish understand about spawning,No,1.0
4187,coast on,try to cash in on,The US coast on its national debt,The US try to cash in on its national debt,No,1.0
4188,have one set of,have different number of,females have one set of chromosomes,females have different number of chromosomes,No,1.0
4189,quit,want to stop,Michelangelo quit the Medici court,Michelangelo want to stop the Medici court,No,1.0
4190,detect,employ,click detect settings,click employ settings,No,1.0
4191,lift,cock,Rezo lift his head,Rezo cock his head,No,1.0
4192,have no access to,be denied access to,Africa have no access to electricity,Africa be denied access to electricity,no,1.0
4193,want to be free from,be longer subject to,The colonists want to be free from England,The colonists be longer subject to England,No,1.0
4194,apologize to,yell at,Lawler apologize to the crowd,Lawler yell at the crowd,No,1.0
4195,smell like,have the consistency of,VALTREX smell like a fish,VALTREX have the consistency of a fish,No,1.0
4196,handle,mention,the Bush administration handle detainees,the Bush administration mention detainees,No,1.0
4197,acquire,be acquired by,Chicago acquire Griffey,Chicago be acquired by Griffey,No,1.0
4198,be confidential in,be trustworthy in,these reports be confidential in nature,these reports be trustworthy in nature,No,1.0
4199,stay at,like to stay at,Mary stay at my house,Mary like to stay at my house,No,1.0
4200,hear through,cut through,Jake hear through walls,Jake cut through walls,No,1.0
4201,agree to comply with,signify your acceptance of,ACC agree to comply with the legislation,ACC signify your acceptance of the legislation,No,1.0
4202,want a copy of,own a copy of,The buyers want a copy of the insurance,The buyers own a copy of the insurance,No,1.0
4203,allow the use of,restrict the use of,a search engine allow the use of Boolean operators,a search engine restrict the use of Boolean operators,No,1.0
4204,explain,examine,Vincent explain his case,Vincent examine his case,No,1.0
4205,cast on,cast a shadow on,a vote cast on Election Day,a vote cast a shadow on Election Day,No,1.0
4206,agree with,be against,Gibson agree with him,Gibson be against him,No,1.0
4207,have several problem with,pack a lot into,Consumer have several problem with transmission,Consumer pack a lot into transmission,No,1.0
4208,work a lot on,need some help with,an artist work a lot on the internet,an artist need some help with the internet,No,1.0
4209,want to see,get to see,All judges want to see him,All judges get to see him,No,1.0
4210,find a copy of,read all of,the workers find a copy of the law,the workers read all of the law,No,1.0
4211,be required at,be available at,Retirement be required at the same time,Retirement be available at the same time,No,1.0
4212,attend,be a 2006 graduate of,The student attend courses,The student be a 2006 graduate of courses,No,1.0
4213,be difficult to,be ok to,the language be difficult to him,the language be ok to him,No,1.0
4214,be the head of,be an associate professor in,Jesus be the head of the church,Jesus be an associate professor in the church,No,1.0
4215,accomplish,communicate,leaders accomplish goals,leaders communicate goals,No,1.0
4216,have one set of,need a new set of,Mexico have one set of rules,Mexico need a new set of rules,No,1.0
4217,compromise on,establish a reputation for,GPS receiver compromise on features,GPS receiver establish a reputation for features,No,1.0
4218,be per,be $ 2.00 per,The protection be per bank,The protection be $ 2.00 per bank,No,1.0
4219,fall to,stay on,The basin fall to the ground,The basin stay on the ground,No,1.0
4220,recover from,be devastated by,Most people recover from Hepatitis A,Most people be devastated by Hepatitis A,No,1.0
4221,be laden with,be devoid of,Women be laden with sins,Women be devoid of sins,No,1.0
4222,have a stockpile of,spend much money on,"Hezbollah have a stockpile of 40,000 rockets","Hezbollah spend much money on 40,000 rockets",No,1.0
4223,have peace with,sign a peace treaty with@R@,the believer have peace with God,God sign a peace treaty with the believer,No,1.0
4224,do a lot of,have no problem with,a lot of people do a lot of stuff,a lot of people have no problem with stuff,No,1.0
4225,approach,contact,the temperature approach zero,the temperature contact zero,No,1.0
4226,be imposed upon,be relieved of@R@,plague be imposed upon society,society be relieved of plague,No,1.0
4227,reassemble,unwrap,Children reassemble the picture cards,Children unwrap the picture cards,No,1.0
4228,have the face of,behave like,The boy have the face of an angel,The boy behave like an angel,No,1.0
4229,run into,hit,Ben run into Jessica,Ben hit Jessica,No,1.0
4230,have concern for,continue to pray for,the hypnotherapist have concern for the client,the hypnotherapist continue to pray for the client,No,1.0
4231,love to play in,love to sit in,Dogs love to play in the snow,Dogs love to sit in the snow,No,1.0
4232,set an example for,lose the respect of,Teachers set an example for their students,Teachers lose the respect of their students,No,1.0
4233,know after,stay after,Everybody know after workout,Everybody stay after workout,No,1.0
4234,arrive in,be born in,The ambassadors arrive in Japan,The ambassadors be born in Japan,No,1.0
4235,be offered,apply for,Such persons be offered the opportunity,Such persons apply for the opportunity,No,1.0
4236,be sold throughout,be consumed in,These dogs be sold throughout America,These dogs be consumed in America,No,1.0
4237,accept,refuse to accept,the adults accept the change,the adults refuse to accept the change,No,1.0
4238,prepare,distribute,Participants prepare food,Participants distribute food,No,1.0
4239,be fair to,be an insult to,an agreement be fair to all parties,an agreement be an insult to all parties,No,1.0
4240,deny,affirm,The government deny these charges,The government affirm these charges,No,1.0
4241,prepare for,celebrate,The Bagger prepare for Sundance,The Bagger celebrate Sundance,No,1.0
4242,keep get into,gonna get in,Some of us keep get into trouble,Some of us gonna get in trouble,No,1.0
4243,get anything in,see anyone in,no one get anything in this country,no one see anyone in this country,No,1.0
4244,own,work at,most of us own these items,most of us work at these items,No,1.0
4245,recommend take,need to take,Doctors recommend take Frova,Doctors need to take Frova,No,1.0
4246,fight with,beat,Sasuke fight with Kakashi,Sasuke beat Kakashi,No,1.0
4247,spend time with,get along with,the children spend time with Jim,the children get along with Jim,No,1.0
